TIME,VALUE,Device ID
132675,2471,1
132695,2454,1
132725,2466,1
132745,2473,1
132765,2467,1
132805,2461,1
132835,2470,1
132855,2467,1
132865,2465,1
132875,2470,1
132885,2473,1
132895,2463,1
132925,2467,1
132935,2466,1
132955,2299,1
132975,2455,1
132995,2251,1
133025,2479,1
133035,2459,1
133055,2469,1
133075,2461,1
133095,2474,1
133115,2467,1
133135,2294,1
133155,2468,1
133175,2469,1
133195,2491,1
133215,2466,1
133235,2459,1
133255,2465,1
133275,2461,1
133295,2462,1
133315,2461,1
133335,2461,1
133355,2466,1
133375,2471,1
133395,2470,1
133415,2463,1
133435,2463,1
133455,2469,1
133475,2469,1
133495,2462,1
133515,2475,1
133535,2466,1
133555,2448,1
133575,2474,1
133595,2459,1
133615,2468,1
133635,2450,1
133655,2473,1
133675,2465,1
133695,2461,1
133715,2463,1
133735,2470,1
133755,2465,1
133775,2501,1
133795,2480,1
133815,2467,1
133835,2471,1
133865,2469,1
133875,2471,1
133895,2458,1
133915,2471,1
133935,2471,1
133955,2467,1
133975,2462,1
133995,2465,1
134015,2474,1
134035,2466,1
134055,2473,1
134075,2465,1
134095,2482,1
134115,2469,1
134135,2470,1
134155,2459,1
134175,2467,1
134195,2470,1
134215,2455,1
134235,2473,1
134255,2473,1
134275,2467,1
134295,2474,1
134315,2467,1
134335,2471,1
134355,2454,1
134375,2469,1
134395,2471,1
134415,2467,1
134435,2463,1
134455,2467,1
134475,2468,1
134495,2445,1
134515,2463,1
134535,2466,1
134555,2472,1
134575,2466,1
134595,2467,1
134615,2469,1
134635,2466,1
134655,2467,1
134675,2450,1
134695,2465,1
134715,2470,1
134735,2467,1
134755,2462,1
134775,2470,1
134795,2467,1
134815,2465,1
134835,2469,1
134855,2463,1
134875,2462,1
134895,2466,1
134915,2471,1
134935,2459,1
134955,2464,1
134975,2466,1
134995,2466,1
135015,2466,1
135035,2474,1
135055,2448,1
135075,2458,1
135095,2467,1
135115,2468,1
135135,2469,1
135155,2466,1
135175,2470,1
135195,2459,1
135215,2414,1
135235,2294,1
135255,2335,1
135275,2463,1
135295,2473,1
135315,2465,1
135335,2465,1
135365,2409,1
135375,2477,1
135395,2467,1
135415,2470,1
135435,2465,1
135455,2302,1
135475,2463,1
135495,2467,1
135515,2462,1
135535,2466,1
135555,2471,1
135575,2455,1
135595,2460,1
135615,2463,1
135635,2464,1
135655,2467,1
135675,2470,1
135695,2473,1
135715,2473,1
135735,2461,1
135755,2473,1
135775,2471,1
135795,2466,1
135815,2474,1
135835,2463,1
135855,2467,1
135875,2466,1
135895,2491,1
135915,2467,1
135945,2473,1
135955,2473,1
135975,2463,1
135995,2462,1
136015,2463,1
136035,2462,1
136055,2465,1
136085,2468,1
136095,2465,1
136115,2461,1
136135,2466,1
136155,2466,1
136175,2470,1
136195,2463,1
136215,2477,1
136235,2463,1
136255,2464,1
136275,2466,1
136295,2474,1
136315,2471,1
136335,2463,1
136355,2475,1
136375,2464,1
136395,2467,1
136415,2469,1
136435,2463,1
136455,2475,1
136475,2517,1
136495,2469,1
136515,2465,1
136535,2466,1
136555,2469,1
136575,2459,1
136595,2476,1
136615,2475,1
136635,2462,1
136655,2469,1
136675,2465,1
136695,2455,1
136715,2459,1
136755,2467,1
136775,2466,1
136805,2464,1
136845,2467,1
136855,2463,1
136865,2471,1
136875,2461,1
136885,2463,1
136895,2467,1
136925,2468,1
136935,2475,1
136955,2467,1
136975,2358,1
136995,2468,1
137015,2465,1
137035,2464,1
137055,2459,1
137075,2487,1
137095,2467,1
137115,2464,1
137135,2465,1
137165,2467,1
137175,2462,1
