TIME,VALUE,Device ID
12685,2459,1
12695,2463,1
12715,2463,1
12735,2473,1
12755,2463,1
12775,2466,1
12795,2475,1
12815,2474,1
12835,2479,1
12855,2462,1
12875,2471,1
12895,2459,1
12915,2477,1
12935,2473,1
12955,2473,1
12975,2477,1
12995,2464,1
13015,2466,1
13035,2465,1
13055,2458,1
13075,2459,1
13095,2463,1
13115,2469,1
13135,2462,1
13155,2469,1
13175,2462,1
13195,2465,1
13215,2466,1
13235,2466,1
13255,2467,1
13275,2473,1
13295,2465,1
13315,2435,1
13335,2461,1
13355,2502,1
13375,2464,1
13395,2460,1
13415,2467,1
13435,2465,1
13455,2463,1
13475,2462,1
13495,2514,1
13515,2459,1
13535,2470,1
13555,2463,1
13575,2464,1
13595,2465,1
13615,2461,1
13635,2463,1
13655,2465,1
13675,2475,1
13695,2467,1
13715,2469,1
13735,2466,1
13755,2467,1
13775,2458,1
13795,2463,1
13815,2466,1
13835,2462,1
13855,2455,1
13875,2463,1
13895,2457,1
13915,2459,1
13935,2460,1
13955,2461,1
13975,2465,1
13995,2463,1
14015,2464,1
14035,2466,1
14055,2465,1
14075,2463,1
14095,2465,1
14115,2460,1
14135,2461,1
14155,2463,1
14175,2454,1
14195,2464,1
14215,2457,1
14235,2463,1
14255,2434,1
14275,2455,1
14295,2466,1
14315,2438,1
14335,2470,1
14355,2460,1
14375,2471,1
14395,2462,1
14415,2470,1
14435,2470,1
14455,2461,1
14475,2465,1
14495,2461,1
14515,2299,1
14535,2453,1
14555,2462,1
14575,2454,1
14595,2460,1
14615,2480,1
14635,2465,1
14655,2469,1
14675,2463,1
14695,2460,1
14715,2469,1
14735,2462,1
14755,2462,1
14775,2464,1
14795,2289,1
14815,2469,1
14835,2459,1
14855,2474,1
14875,2461,1
14895,2474,1
14915,2466,1
14935,2461,1
14955,2458,1
14975,2469,1
14995,2442,1
15015,2466,1
15035,2429,1
15065,2462,1
15075,2453,1
15095,2459,1
15125,2465,1
15135,2470,1
15155,2464,1
15175,2454,1
15195,2472,1
15215,2457,1
15235,2451,1
15255,2458,1
15275,2480,1
15295,2480,1
15315,2463,1
15335,2462,1
15365,2462,1
15375,2465,1
15395,2463,1
15415,2463,1
15435,2463,1
15455,2462,1
15475,2479,1
15495,2475,1
15515,2462,1
15535,2466,1
15555,2466,1
15575,2453,1
15595,2460,1
15615,2458,1
15635,2455,1
15655,2469,1
15675,2471,1
15695,2465,1
15715,2459,1
15735,2462,1
15755,2461,1
15775,2470,1
15795,2466,1
15815,2459,1
15835,2465,1
15855,2460,1
15875,2465,1
15895,2489,1
15915,2459,1
15935,2463,1
15955,2459,1
15975,2454,1
15995,2461,1
16015,2460,1
16035,2488,1
16065,2471,1
