TIME,VALUE,Device ID
196675,2470,1
196695,2468,1
196715,2471,1
196735,2470,1
196755,2469,1
196775,2469,1
196795,2480,1
196815,2475,1
196835,2475,1
196855,2475,1
196875,2473,1
196895,2474,1
196915,2512,1
196935,2470,1
196955,2454,1
196975,2463,1
197005,2465,1
197015,2461,1
197035,2465,1
197055,2527,1
197075,2472,1
197095,2481,1
197115,2473,1
197135,2471,1
197155,2477,1
197175,2479,1
197195,2468,1
197215,2463,1
197235,2499,1
197275,2457,1
197305,2459,1
197325,2462,1
197345,2463,1
197365,2458,1
197375,2463,1
197385,2458,1
197405,2467,1
197415,2475,1
197435,2467,1
197455,2468,1
197475,2469,1
197495,2458,1
197515,2473,1
197535,2467,1
197555,2469,1
197575,2465,1
197595,2427,1
197615,2473,1
197635,2471,1
197655,2471,1
197675,2466,1
197695,2443,1
197715,2473,1
197735,2469,1
197755,2469,1
197775,2467,1
197795,2455,1
197815,2470,1
197835,2463,1
197855,2461,1
197875,2480,1
197895,2461,1
197915,2466,1
197935,2432,1
197955,2467,1
197975,2489,1
197995,2460,1
198015,2474,1
198045,2462,1
198055,2446,1
198075,2453,1
198095,2467,1
198115,2470,1
198135,2473,1
198155,2463,1
198175,2473,1
198195,2479,1
198215,2465,1
198235,2459,1
198255,2451,1
198275,2471,1
198295,2475,1
198315,2471,1
198335,2465,1
198355,2466,1
198375,2463,1
198395,2452,1
198415,2463,1
198435,2467,1
198455,2479,1
198475,2459,1
198495,2467,1
198515,2475,1
198535,2469,1
198555,2470,1
198575,2469,1
198595,2473,1
198615,2473,1
198635,2470,1
198655,2479,1
198675,2463,1
198695,2466,1
198715,2463,1
198735,2471,1
198755,2471,1
198775,2434,1
198795,2475,1
198815,2471,1
198835,2469,1
198855,2475,1
198875,2475,1
198895,2471,1
198915,2467,1
198935,2466,1
198955,2469,1
198975,2466,1
198995,2465,1
199015,2486,1
199035,2463,1
199055,2465,1
199085,2271,1
199095,2462,1
199115,2447,1
199135,2460,1
199155,2469,1
199175,2478,1
199195,2470,1
199215,2471,1
199235,2464,1
199255,2466,1
199275,2466,1
199295,2469,1
199315,2486,1
